// Compost colors for astral_mekanism. You may add your own colors, change existing ones, or remove colors that aren't needed.
alloy_convergent, #917aed
alloy_elastic, #ff91ff
alloy_stardust, #ffffc2
astral_diamond, #75beff
astral_glowstone_ingot, #ffdcc3
clump_coal, #333336
clump_diamond, #3ae1d7
clump_emerald, #28fe68
clump_fluorite, #ffffff
clump_lapis_lazuli, #396fea
clump_quartz, #f8e4d4
clump_redstone, #9b0700
crushed_coal, #322f33
crushed_diamond, #78ffff
crushed_emerald, #40ed70
crushed_fluorite, #ffffff
crushed_lapis_lazuli, #3a75ee
crushed_quartz, #fff5e6
crushed_redstone, #980700
crystal_antimatter, #ffe6ff
crystal_coal, #333237
crystal_diamond, #52f7ea
crystal_emerald, #2acf52
crystal_fluorite, #ffffff
crystal_lapis_lazuli, #4882ff
crystal_quartz, #fff0e4
crystal_redstone, #ab0500
enriched_nether_star, #ffffcd
enriched_singularity, #beb2ff
enriched_utility, #9b37f4
illusion_control_circuit, #d4daaa
insert_upgrade, #96a7a2
raw_coal, #333034
raw_diamond, #55fff5
raw_emerald, #28d051
raw_fluorite, #ffffff
raw_lapis_lazuli, #3c76f1
raw_quartz, #fae6d6
raw_redstone, #960500
resonance_control_circuit, #c29dff
shard_coal, #333236
shard_diamond, #61faed
shard_emerald, #2dcd54
shard_fluorite, #ffffff
shard_lapis_lazuli, #487ff5
shard_quartz, #fae8dc
shard_redstone, #a00804
singularity_upgrade, #544a8d
spacetime_modulation_core, #ffffe1
starlight_coal, #8a8a8a
starlight_copper, #fffc9d
starlight_diamond, #ccffff
starlight_emerald, #ccffff
starlight_fluorite, #ffffff
starlight_gold, #ffdcac
starlight_iron, #ffffff
starlight_lapis_lazuli, #bcbcff
starlight_lead, #acacac
starlight_osmium, #bcbcff
starlight_quartz, #ffffff
starlight_redstone, #ffcccc
starlight_tin, #ffffff
starlight_uranium, #acffff
utility_dust, #983af4
vibration_control_circuit, #e162ff
